SchoolYear,ESD,CountyNumber,county,CountyDistrictNumber,district,GradeTested,ReadingTotalTestedNotTested,ReadingTotalMSP_HSPETested,ReadingMetStandardIncludingPrevPass,ReadingPercentMetStandardIncludingPrevPass,ReadingMetStandardWithoutPrevPass,ReadingPercentMetStandardWithoutPrevPass,ReadingPercentMetStandardExcludingNoScore,ReadingLevel1,ReadingPercentLevel1,ReadingLevel2,ReadingPercentLevel2,ReadingLevelBasic,ReadingPercentLevelBasic,ReadingLevel3,ReadingPercentLevel3,ReadingLevel4,ReadingPercentLevel4,ReadingNoScore,ReadingPercentNoScore,ReadingNotMet,ReadingPercentNotMet,ReadingExcusedAbsence,ReadingExempted,ReadingWAASPORT,ReadingWAASDAPE,MathTotalTestedNotTested,MathTotalMSP_HSPETested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,WritingTotalTestedNotTested,WritingTotalMSP_HSPETested,WritingMetStandardIncludingPrevPass,WritingPercentMetStandardIncludingPrevPass,WritingMetStandardWithoutPrevPass,WritingPercentMetStandardWithoutPrevPass,WritingPercentMetStandardExcludingNoScore,WritingLevel1,WritingPercentLevel1,WritingLevel2,WritingPercentLevel2,WritingLevelBasic,WritingPercentLevelBasic,WritingLevel3,WritingPercentLevel3,WritingLevel4,WritingPercentLevel4,WritingNoScore,WritingPercentNoScore,WritingNotMet,WritingPercentNotMet,WritingExcusedAbsence,WritingExempted,WritingWAASPORT,WritingWAASDAPE,ScienceTotalTestedNotTested,ScienceTotalMSP_HSPETested,ScienceMetStandardIncludingPrevPass,SciencePercentMetStandardIncludingPrevPass,ScienceMetStandardWithoutPrevPass,SciencePercentMetStandardWithoutPrevPass,SciencePercentMetStandardExcludingNoScore,ScienceLevel1,SciencePercentLevel1,ScienceLevel2,SciencePercentLevel2,ScienceLevelBasic,SciencePercentLevelBasic,ScienceLevel3,SciencePercentLevel3,ScienceLevel4,SciencePercentLevel4,ScienceNoScore,SciencePercentNoScore,ScienceNotMet,SciencePercentNotMet,ScienceExcusedAbsence,ScienceExempted,ScienceWAASPORT,ScienceWAASDAPE,ReadingLevelIndex,MathLevelIndex
2013-14,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,233,128,54.89,128,54.89,54.9,32,13.69,73,31.3,5,2.1,92,39.39,31,13.3,0,0,105,45,0,1,2,NA,,
2013-14,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,233,122,52.29,122,52.29,52.4,33,14.09,78,33.39,0,0,94,40.29,28,12,0,0,111,47.6,0,6,2,NA,,
2013-14,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,10,213,212,174,80.9,172,80.7,81.1,18,8.4,22,10.3,6,2.79,68,31.89,98,46,1,0.4,41,19.19,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,213,209,179,83.6,178,83.5,85.2,8,3.7,23,10.69,4,1.8,142,66.59,32,15,4,1.8,35,16.39,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,3,36,36,24,66.59,24,66.59,66.7,4,11.09,8,22.19,0,0,14,38.79,10,27.69,0,0,12,33.29,0,0,,,36,36,24,66.59,24,66.59,66.7,8,22.19,4,11.09,0,0,17,47.2,7,19.39,0,0,12,33.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,2.64
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,4,40,40,25,62.5,25,62.5,62.5,0,0,15,37.5,3,7.5,17,42.5,5,12.5,0,0,15,37.5,0,0,,,40,40,23,57.39,23,57.39,57.5,8,20,9,22.5,0,0,12,30,11,27.5,0,0,17,42.5,0,0,,,40,40,16,40,16,40,40,7,17.5,17,42.5,1,2.5,10,25,5,12.5,0,0,24,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.65
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,5,49,49,29,59.1,29,59.1,59.2,5,10.19,15,30.6,1,2,14,28.5,14,28.5,0,0,20,40.79,0,0,,,49,49,22,44.79,22,44.79,44.9,8,16.3,19,38.7,0,0,16,32.6,6,12.19,0,0,27,55.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,34,69.29,34,69.29,69.4,7,14.19,8,16.3,0,0,15,30.6,19,38.7,0,0,15,30.6,0,0,,NA,2.71,2.4
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,6,39,39,26,66.59,26,66.59,66.7,0,0,13,33.29,1,2.5,17,43.5,8,20.5,0,0,13,33.29,1,0,2,,39,39,29,74.29,29,74.29,74.4,4,10.19,6,15.3,0,0,22,56.39,7,17.89,0,0,10,25.6,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,2.82
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,7,55,55,35,63.6,35,63.6,63.6,5,9,15,27.19,0,0,30,54.5,5,9,0,0,20,36.29,0,0,,,55,55,29,52.7,29,52.7,52.7,10,18.1,16,29,1,1.8,22,40,6,10.9,0,0,26,47.2,0,0,,,55,55,38,69,38,69,69.1,4,7.2,13,23.6,1,1.8,33,60,4,7.2,0,0,17,30.89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.4
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,8,54,54,30,55.5,30,55.5,55.6,9,16.6,15,27.69,0,0,15,27.69,15,27.69,0,0,24,44.39,0,0,,,54,54,8,14.8,8,14.8,14.8,21,38.79,25,46.2,0,0,8,14.8,0,0,0,0,46,85.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,37,68.5,37,68.5,68.5,6,11.09,11,20.3,1,1.8,26,48.1,10,18.5,0,0,17,31.39,0,0,,NA,2.66,1.76
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,10,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
